round_epochs,loss,acc,val_loss,val_acc,lr,optimizer,activation,dropout,regularization,loss_functions,layers,layer_size,batch_size
13,0.3714145687950982,0.825,0.4884399018504403,0.7909091,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,300,64
11,0.37690697778595816,0.8247778,0.49780080793620823,0.793007,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,100,64
13,0.3701932841671838,0.82533336,0.5068097728949327,0.7916084,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,1,300,64
11,0.3940523175572356,0.8232222,0.48903098811323825,0.7923077,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,4
11,0.39127425052013537,0.8234444,0.5214715087069951,0.7902098,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,300,4
11,0.4958160843849182,0.8258889,0.630441751680174,0.7937063,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,64
11,0.37109658919440375,0.82633334,0.5056884790217127,0.7923077,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,100,64
11,0.3784208515894093,0.8231111,0.500692548354521,0.7916084,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,300,4
11,0.37789385210143195,0.8242222,0.4911826200418539,0.7937063,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,64
11,0.3713185447057088,0.82555556,0.5017349236495011,0.7923077,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,100,64
11,0.3937123923566606,0.8237778,0.49714337316426366,0.793007,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,100,64
11,0.37947525870344706,0.8234444,0.4898535797333384,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,4
11,0.42191233802752365,0.8132222,0.5084186620437182,0.7916084,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,4
11,0.5723153118160036,0.7421111,0.641815785928206,0.679021,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,100,4
11,0.37136125389734903,0.8252222,0.5040515351128745,0.7888112,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,1,300,64
11,0.3755024160808987,0.82566667,0.506834598479571,0.7923077,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,64
11,0.37001730614564277,0.82611114,0.5101220435664787,0.793007,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,100,4
11,0.385779946592119,0.82744443,0.5252907665459426,0.7923077,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,100,64
